33, 42
36, 42
39, 42
42, 41
45, 41
48, 41
51, 41
54, 40
57, 40
60, 40
63, 40
66, 41
69, 41
72, 41
75, 41
78, 41
81, 42
84, 129
87, 129
90, 152
93, 152
96, 151
99, 81
102, 80
105, 80
108, 79
111, 78
114, 78
117, 78
120, 78
123, 77
126, 77
129, 77
132, 77
135, 77
138, 77
141, 78
144, 34
147, 34
150, 33
153, 33
156, 33
159, 33
162, 32
165, 32
168, 32
171, 32
174, 32
177, 32
180, 32
3, 41
6, 41
9, 41
12, 41
15, 42
18, 43
21, 43
24, 46
27, 45
30, 43
33, 42
36, 42
39, 41
42, 41
45, 41
48, 41
51, 41
54, 40
57, 40
60, 40
63, 40
66, 41
69, 41
72, 41
75, 41
78, 42
81, 42
84, 44
87, 129
90, 152
93, 151
96, 151
99, 81
102, 80
105, 80
108, 79
111, 78
114, 78
117, 78
120, 78
123, 77
126, 77
129, 77
132, 77
135, 77
138, 77
141, 78
144, 34
147, 34
150, 33
153, 33
156, 33
159, 32
162, 32
165, 32
168, 32
171, 32
174, 32
177, 32
180, 32
3, 41
6, 41
9, 41
12, 41
15, 42
18, 42
21, 44
24, 45
27, 45
30, 42
33, 42
36, 42
39, 41
42, 41
